title,location,division,url
Software Engineer II,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13627017/software-engineer-ii-atlanta-ga/
Senior Scrum Master,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13838169/senior-scrum-master-atlanta-ga/
Lead Software Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13806832/lead-software-engineer-remote/
Senior UX Copywriter,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13838166/senior-ux-copywriter-atlanta-ga/
Lead Software Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13835761/lead-software-engineer-atlanta-ga/
Lead Software Engineer,"North Hills, NY",Cox Automotive,https://jobs.coxenterprises.com/job/13835758/lead-software-engineer-remote/
Senior Software Engineer - Android,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13835754/senior-software-engineer-android-atlanta-ga/
Senior Software Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13833085/senior-software-engineer-atlanta-ga/
Software Engineer II,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13827473/software-engineer-ii-atlanta-ga/
Principal Security Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13825270/principal-security-engineer-atlanta-ga/
Senior Software Engineer - Web UI,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13804301/senior-software-engineer-web-ui-atlanta-ga/
Product Owner,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13778684/product-owner-remote/
Principal Systems Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13752915/principal-systems-engineer-remote/
Security Engineer II,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13749300/security-engineer-ii-atlanta-ga/
Lead Security Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13749301/lead-security-engineer-atlanta-ga/
Senior Release Train Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13716218/senior-release-train-engineer-atlanta-ga/
Sr Financial Analyst,"Mission, KS",Cox Automotive,https://jobs.coxenterprises.com/job/13708136/sr-financial-analyst-remote/
Software Test Engineer II,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13706577/software-test-engineer-ii-atlanta-ga/
Sr Fraud Prevention Analyst,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13687987/sr-fraud-prevention-analyst-remote/
Senior Systems Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13695913/senior-systems-engineer-atlanta-ga/
Senior Scrum Master,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13304828/senior-scrum-master-atlanta-ga/
Senior Software Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13680908/senior-software-engineer-atlanta-ga/
Senior Product Manager,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13623656/senior-product-manager-atlanta-ga/
Ad Platforms & Capability Specialist II,"Irvine, CA",Cox Automotive,https://jobs.coxenterprises.com/job/13579842/ad-platforms-capability-specialist-ii-irvine-ca/
Principal Solution Architect - Data,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13577505/principal-solution-architect-data-atlanta-ga/
Principal Site Reliability Engineer,"Dallas, TX",Cox Automotive,https://jobs.coxenterprises.com/job/13571466/principal-site-reliability-engineer-dallas-tx/
Lead Site Reliability Engineer,"Dallas, TX",Cox Automotive,https://jobs.coxenterprises.com/job/13571467/lead-site-reliability-engineer-dallas-tx/
Senior Digital Analytics Specialist,"Irvine, CA",Cox Automotive,https://jobs.coxenterprises.com/job/13554573/senior-digital-analytics-specialist-irvine-ca/
Software Engineer II,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13478504/software-engineer-ii-atlanta-ga/
